title,author,subject,isbn,availability,borrow_count,rating,description
"The Story of Art","Gombrich, E.H.","Arts","978-0-7148-3355-2","Available",630,4.9,"The world's most popular art book"
"Thinking, Fast and Slow","Kahneman, Daniel","Psychology","978-0-374-53355-7","Available",609,4.7,"The two systems that drive the way we think"
"To Kill a Mockingbird","Lee, Harper","Literature","978-0-06-112008-4","Available",642,4.9,"A gripping tale of racial injustice and childhood"
"Ways of Seeing","Berger, John","Arts","978-0-14-013515-1","Borrowed",592,4.6,"About looking and seeing and the way we see"
"Dune","Herbert, Frank","Science Fiction","978-0-441-17271-9","Available",435,4.8,"Epic science fiction novel set in the distant future"
"The Lord of the Rings","Tolkien, J.R.R.","Fantasy","978-0-544-00341-5","Borrowed",523,4.9,"Epic fantasy adventure in Middle-earth"
"Foundation","Asimov, Isaac","Science Fiction","978-0-553-29335-4","Available",389,4.7,"The future history of the galaxy"
"Brave New World","Huxley, Aldous","Science Fiction","978-0-06-085052-4","Available",467,4.6,"A dystopian vision of the future"
"The Handmaid's Tale","Atwood, Margaret","Science Fiction","978-0-385-49081-8","Borrowed",512,4.8,"Dystopian novel set in a totalitarian society"
"Calculus","Stewart, James","Mathematics","978-1-285-74062-1","Available",234,4.5,"Early transcendentals mathematics textbook"
"Linear Algebra","Strang, Gilbert","Mathematics","978-0-980-23270-1","Available",189,4.7,"Introduction to linear algebra"
"Statistics","Freedman, David","Mathematics","978-0-393-93043-2","Borrowed",156,4.6,"Statistical methods and data analysis"
"Organic Chemistry","Clayden, Jonathan","Chemistry","978-0-19-927029-3","Available",234,4.4,"Comprehensive organic chemistry textbook"
"Physics for Scientists","Serway, Raymond","Physics","978-1-133-94779-1","Available",267,4.6,"Calculus-based physics textbook"
"Campbell Biology","Reece, Jane","Biology","978-0-321-77565-8","Borrowed",298,4.8,"Comprehensive biology textbook"
"The Selfish Gene","Dawkins, Richard","Biology","978-0-19-286092-7","Available",445,4.7,"Gene-centered view of evolution"
"A Beautiful Mind","Nasar, Sylvia","Biography","978-0-684-81906-8","Available",367,4.6,"Biography of mathematician John Nash"
"Steve Jobs","Isaacson, Walter","Biography","978-1-451-64853-9","Available",589,4.5,"Biography of Apple co-founder"
"The Diary of a Young Girl","Frank, Anne","Biography","978-0-553-29698-0","Borrowed",623,4.9,"Anne Frank's wartime diary"
"Man's Search for Meaning","Frankl, Viktor","Psychology","978-0-8070-1427-1","Available",456,4.8,"Psychologist's experience in Nazi death camps"
"The Interpretation of Dreams","Freud, Sigmund","Psychology","978-0-465-01977-9","Available",234,4.3,"Freud's theory of the unconscious"
"Flow","Csikszentmihalyi, Mihaly","Psychology","978-0-06-251618-5","Borrowed",389,4.7,"The psychology of optimal experience"
"The 7 Habits","Covey, Stephen","Self-Help","978-1-982-13761-9","Available",567,4.6,"Highly effective people principles"
"How to Win Friends","Carnegie, Dale","Self-Help","978-0-671-72365-0","Available",489,4.5,"And influence people classic guide"
"Atomic Habits","Clear, James","Self-Help","978-0-7352-1129-2","Borrowed",634,4.8,"An easy and proven way to build good habits"
"The Wealth of Nations","Smith, Adam","Economics","978-0-553-58597-1","Available",234,4.4,"Inquiry into the nature and causes"
"Capital","Marx, Karl","Economics","978-0-486-43479-1","Available",189,4.2,"Critique of political economy"
"Freakonomics","Levitt, Steven","Economics","978-0-06-073132-6","Borrowed",445,4.7,"A rogue economist explores hidden side"
"The Tipping Point","Gladwell, Malcolm","Sociology","978-0-316-34662-7","Available",378,4.6,"How little things can make a big difference"
"Bowling Alone","Putnam, Robert","Sociology","978-0-7432-0304-3","Available",234,4.5,"The collapse and revival of American community"
"The Communist Manifesto","Marx, Karl","Political Science","978-0-486-42463-1","Available",189,4.3,"A political pamphlet by Marx and Engels"
